exp;success;longest_path;time
small_obstacles_range3_3d_agents10_1;1;123;4.24
small_obstacles_range3_3d_agents10_19;1;78;4.2
small_obstacles_range3_3d_agents10_10;1;176;4.14
small_obstacles_range3_3d_agents10_16;1;75;4.06
small_obstacles_range3_3d_agents10_0;1;311;4.37
small_obstacles_range3_3d_agents10_15;1;138;4.32
small_obstacles_range3_3d_agents10_14;1;53;3.99
small_obstacles_range3_3d_agents10_3;1;46;3.99
small_obstacles_range3_3d_agents10_8;1;168;4.18
small_obstacles_range3_3d_agents10_11;1;110;4.07
small_obstacles_range3_3d_agents10_18;1;314;4.63
small_obstacles_range3_3d_agents10_17;1;70;4.07
small_obstacles_range3_3d_agents10_5;1;160;4.3
small_obstacles_range3_3d_agents10_9;1;261;4.5
small_obstacles_range3_3d_agents10_12;1;373;4.7
small_obstacles_range3_3d_agents10_4;1;190;4.18
small_obstacles_range3_3d_agents10_7;1;419;4.68
small_obstacles_range3_3d_agents10_2;1;26;3.98
small_obstacles_range3_3d_agents10_6;1;225;4.06
small_obstacles_range3_3d_agents10_13;1;453;4.33
