exp;success;longest_path;time
offices_range1_agents100_14;1;1157;20.3
offices_range1_agents100_16;1;1173;22.84
offices_range1_agents100_5;1;1826;34.75
offices_range1_agents100_3;1;1307;18.31
offices_range1_agents100_0;1;783;12.57
offices_range1_agents100_8;1;3309;39.63
offices_range1_agents100_12;0;0;116.92
offices_range1_agents100_19;1;1098;21.14
offices_range1_agents100_6;1;1883;27.67
offices_range1_agents100_13;1;1343;35.61
offices_range1_agents100_17;1;683;8.03
offices_range1_agents100_15;1;2028;25.17
offices_range1_agents100_18;1;897;6.86
offices_range1_agents100_2;1;734;8.56
offices_range1_agents100_1;1;1187;15.48
offices_range1_agents100_10;1;1175;16.89
offices_range1_agents100_7;0;0;115.08
offices_range1_agents100_4;0;0;102.55
offices_range1_agents100_9;1;686;10.8
offices_range1_agents100_11;1;2599;37.28
