exp;success;longest_path;time
pyramid_range3_3d_agents300_8;0;0;118.24
pyramid_range3_3d_agents300_10;0;0;117.61
pyramid_range3_3d_agents300_1;0;0;118.76
pyramid_range3_3d_agents300_11;1;476;97.37
pyramid_range3_3d_agents300_18;0;0;118.97
pyramid_range3_3d_agents300_3;0;0;119.25
pyramid_range3_3d_agents300_5;0;0;119.21
pyramid_range3_3d_agents300_6;0;0;118.61
pyramid_range3_3d_agents300_13;1;775;102.24
pyramid_range3_3d_agents300_16;0;0;119.46
pyramid_range3_3d_agents300_4;0;0;118.0
pyramid_range3_3d_agents300_0;0;0;117.83
pyramid_range3_3d_agents300_7;0;0;118.4
pyramid_range3_3d_agents300_19;0;0;119.14
pyramid_range3_3d_agents300_15;0;0;118.18
pyramid_range3_3d_agents300_17;0;0;118.73
pyramid_range3_3d_agents300_2;0;0;118.29
pyramid_range3_3d_agents300_12;0;0;118.74
pyramid_range3_3d_agents300_14;0;0;118.91
pyramid_range3_3d_agents300_9;0;0;118.21
