exp;success;longest_path;time
offices_range1_agents175_13;0;0;111.34
offices_range1_agents175_15;0;0;108.89
offices_range1_agents175_14;0;0;106.98
offices_range1_agents175_16;0;0;108.8
offices_range1_agents175_4;0;0;109.18
offices_range1_agents175_3;0;0;100.42
offices_range1_agents175_7;0;0;111.37
offices_range1_agents175_0;0;0;107.63
offices_range1_agents175_9;0;0;110.18
offices_range1_agents175_11;0;0;110.07
offices_range1_agents175_5;0;0;106.57
offices_range1_agents175_18;0;0;106.23
offices_range1_agents175_8;0;0;109.54
offices_range1_agents175_19;0;0;108.93
offices_range1_agents175_1;0;0;109.36
offices_range1_agents175_2;0;0;110.86
offices_range1_agents175_10;0;0;108.59
offices_range1_agents175_17;0;0;105.56
offices_range1_agents175_12;0;0;111.58
offices_range1_agents175_6;0;0;107.95
