exp;success;longest_path;time
parallel_range4_agents175_0;0;0;119.83
parallel_range4_agents175_13;0;0;119.81
parallel_range4_agents175_12;0;0;119.77
parallel_range4_agents175_5;0;0;119.71
parallel_range4_agents175_9;0;0;119.77
parallel_range4_agents175_6;0;0;119.77
parallel_range4_agents175_15;0;0;119.74
parallel_range4_agents175_19;0;0;119.77
parallel_range4_agents175_18;0;0;119.76
parallel_range4_agents175_4;0;0;119.75
parallel_range4_agents175_10;0;0;119.78
parallel_range4_agents175_7;0;0;119.88
parallel_range4_agents175_1;0;0;119.79
parallel_range4_agents175_16;0;0;119.76
parallel_range4_agents175_3;0;0;119.75
parallel_range4_agents175_17;0;0;119.66
parallel_range4_agents175_8;0;0;119.86
parallel_range4_agents175_2;0;0;119.76
parallel_range4_agents175_14;0;0;119.78
parallel_range4_agents175_11;0;0;119.81
