exp;success;longest_path;time
offices_range1_agents80_7;0;0;116.38
offices_range1_agents80_13;1;408;3.05
offices_range1_agents80_6;1;873;8.33
offices_range1_agents80_5;1;575;6.22
offices_range1_agents80_1;1;707;17.89
offices_range1_agents80_19;1;896;7.36
offices_range1_agents80_12;1;905;6.5
offices_range1_agents80_0;1;724;6.61
offices_range1_agents80_15;1;1789;12.43
offices_range1_agents80_16;1;486;4.64
offices_range1_agents80_2;1;916;8.64
offices_range1_agents80_14;1;295;2.52
offices_range1_agents80_8;1;504;6.28
offices_range1_agents80_18;1;1512;11.91
offices_range1_agents80_17;1;588;5.33
offices_range1_agents80_11;1;407;3.18
offices_range1_agents80_3;1;480;4.11
offices_range1_agents80_10;1;553;4.45
offices_range1_agents80_9;1;846;8.18
offices_range1_agents80_4;1;499;3.94
