exp;success;longest_path;time
parallel_range4_agents60_9;1;222;0.75
parallel_range4_agents60_13;1;2571;9.27
parallel_range4_agents60_8;1;498;6.22
parallel_range4_agents60_15;1;387;1.38
parallel_range4_agents60_16;1;551;2.11
parallel_range4_agents60_11;1;270;0.87
parallel_range4_agents60_5;1;405;1.29
parallel_range4_agents60_7;1;134;0.53
parallel_range4_agents60_17;1;241;0.8
parallel_range4_agents60_0;1;930;4.16
parallel_range4_agents60_10;1;166;0.57
parallel_range4_agents60_2;1;121;0.64
parallel_range4_agents60_4;1;247;0.9
parallel_range4_agents60_3;1;139;0.53
parallel_range4_agents60_6;1;353;1.38
parallel_range4_agents60_18;1;212;1.24
parallel_range4_agents60_1;1;356;1.03
parallel_range4_agents60_12;1;10657;74.48
parallel_range4_agents60_14;1;164;0.7
parallel_range4_agents60_19;1;726;5.13
