exp;success;longest_path;time
pyramid_range3_3d_agents125_0;1;402;8.69
pyramid_range3_3d_agents125_9;1;275;6.45
pyramid_range3_3d_agents125_7;1;325;7.03
pyramid_range3_3d_agents125_19;1;362;15.24
pyramid_range3_3d_agents125_2;0;0;119.72
pyramid_range3_3d_agents125_6;1;369;13.06
pyramid_range3_3d_agents125_8;1;344;5.1
pyramid_range3_3d_agents125_10;1;368;11.25
pyramid_range3_3d_agents125_17;1;452;9.48
pyramid_range3_3d_agents125_12;1;385;10.63
pyramid_range3_3d_agents125_5;1;544;12.41
pyramid_range3_3d_agents125_1;1;403;7.8
pyramid_range3_3d_agents125_13;1;555;22.3
pyramid_range3_3d_agents125_4;1;234;3.95
pyramid_range3_3d_agents125_18;1;400;8.09
pyramid_range3_3d_agents125_11;1;789;16.78
pyramid_range3_3d_agents125_15;1;130;3.16
pyramid_range3_3d_agents125_14;1;278;7.2
pyramid_range3_3d_agents125_16;1;149;2.96
pyramid_range3_3d_agents125_3;1;345;35.05
