exp;success;longest_path;time
small_obstacles_range3_3d_agents80_12;1;680;29.21
small_obstacles_range3_3d_agents80_3;1;450;13.09
small_obstacles_range3_3d_agents80_17;1;316;12.43
small_obstacles_range3_3d_agents80_9;1;589;66.6
small_obstacles_range3_3d_agents80_5;1;1168;30.89
small_obstacles_range3_3d_agents80_11;1;242;9.9
small_obstacles_range3_3d_agents80_13;1;523;117.24
small_obstacles_range3_3d_agents80_6;1;357;15.63
small_obstacles_range3_3d_agents80_18;1;170;10.72
small_obstacles_range3_3d_agents80_0;1;202;11.2
small_obstacles_range3_3d_agents80_10;1;193;10.37
small_obstacles_range3_3d_agents80_2;1;1105;34.87
small_obstacles_range3_3d_agents80_16;1;650;77.89
small_obstacles_range3_3d_agents80_7;1;531;94.48
small_obstacles_range3_3d_agents80_4;1;524;29.06
small_obstacles_range3_3d_agents80_15;0;0;117.9
small_obstacles_range3_3d_agents80_19;1;523;52.33
small_obstacles_range3_3d_agents80_8;1;229;9.19
small_obstacles_range3_3d_agents80_1;1;645;25.19
small_obstacles_range3_3d_agents80_14;0;0;117.76
