exp;success;longest_path;time
offices_range1_agents175_13;0;0;111.92
offices_range1_agents175_15;0;0;106.07
offices_range1_agents175_14;0;0;108.05
offices_range1_agents175_16;0;0;108.37
offices_range1_agents175_4;0;0;111.78
offices_range1_agents175_3;0;0;100.25
offices_range1_agents175_7;0;0;111.7
offices_range1_agents175_0;0;0;106.96
offices_range1_agents175_9;0;0;103.74
offices_range1_agents175_11;0;0;105.8
offices_range1_agents175_5;0;0;105.65
offices_range1_agents175_18;0;0;112.6
offices_range1_agents175_8;0;0;107.62
offices_range1_agents175_19;0;0;106.78
offices_range1_agents175_1;0;0;107.41
offices_range1_agents175_2;0;0;109.88
offices_range1_agents175_10;0;0;115.95
offices_range1_agents175_17;0;0;105.33
offices_range1_agents175_12;0;0;112.2
offices_range1_agents175_6;0;0;107.79
