exp;success;longest_path;time
parallel_range4_agents30_8;1;477;6.96
parallel_range4_agents30_3;1;227;1.19
parallel_range4_agents30_5;1;398;2.13
parallel_range4_agents30_6;1;125;1.28
parallel_range4_agents30_0;1;82;0.69
parallel_range4_agents30_11;1;218;1.61
parallel_range4_agents30_13;1;92;0.8
parallel_range4_agents30_7;1;80;0.57
parallel_range4_agents30_1;1;87;0.53
parallel_range4_agents30_2;0;0;79.97
parallel_range4_agents30_4;1;127;1.47
parallel_range4_agents30_9;1;85;0.61
parallel_range4_agents30_12;1;183;1.16
parallel_range4_agents30_17;1;221;1.53
parallel_range4_agents30_19;1;398;3.7
parallel_range4_agents30_15;0;0;118.99
parallel_range4_agents30_18;1;605;7.36
parallel_range4_agents30_14;1;112;0.52
parallel_range4_agents30_10;1;79;0.46
parallel_range4_agents30_16;1;789;28.23
