exp;success;longest_path;time
pyramid_range3_3d_agents60_4;1;174;17.5
pyramid_range3_3d_agents60_17;1;668;65.52
pyramid_range3_3d_agents60_11;1;325;25.0
pyramid_range3_3d_agents60_9;1;371;25.78
pyramid_range3_3d_agents60_19;1;340;24.87
pyramid_range3_3d_agents60_7;1;972;93.88
pyramid_range3_3d_agents60_12;1;571;67.83
pyramid_range3_3d_agents60_13;1;237;21.74
pyramid_range3_3d_agents60_8;0;0;119.81
pyramid_range3_3d_agents60_16;1;191;19.48
pyramid_range3_3d_agents60_14;1;255;31.32
pyramid_range3_3d_agents60_6;0;0;119.78
pyramid_range3_3d_agents60_10;1;165;11.55
pyramid_range3_3d_agents60_18;1;536;40.2
pyramid_range3_3d_agents60_0;1;579;75.0
pyramid_range3_3d_agents60_1;1;860;93.43
pyramid_range3_3d_agents60_3;1;275;26.61
pyramid_range3_3d_agents60_2;1;145;48.03
pyramid_range3_3d_agents60_15;1;326;37.72
pyramid_range3_3d_agents60_5;1;855;84.93
