exp;success;longest_path;time
offices_range1_agents100_14;1;1218;13.25
offices_range1_agents100_16;1;842;22.66
offices_range1_agents100_5;1;1741;46.53
offices_range1_agents100_3;1;969;12.42
offices_range1_agents100_0;1;783;12.34
offices_range1_agents100_8;1;3462;36.56
offices_range1_agents100_12;0;0;92.02
offices_range1_agents100_19;1;1098;20.87
offices_range1_agents100_6;1;1922;28.07
offices_range1_agents100_13;1;1451;22.6
offices_range1_agents100_17;1;683;7.77
offices_range1_agents100_15;1;3383;35.77
offices_range1_agents100_18;1;897;6.59
offices_range1_agents100_2;1;734;8.31
offices_range1_agents100_1;1;1670;20.89
offices_range1_agents100_10;1;1178;15.94
offices_range1_agents100_7;1;3873;49.41
offices_range1_agents100_4;0;0;76.77
offices_range1_agents100_9;1;736;13.61
offices_range1_agents100_11;1;2599;36.19
