exp;success;longest_path;time
parallel_range4_agents100_7;1;523;4.0
parallel_range4_agents100_4;0;0;111.68
parallel_range4_agents100_16;1;378;2.98
parallel_range4_agents100_14;1;3267;64.83
parallel_range4_agents100_12;1;2100;20.16
parallel_range4_agents100_15;1;393;2.64
parallel_range4_agents100_5;1;362;3.3
parallel_range4_agents100_8;1;3458;69.24
parallel_range4_agents100_9;1;782;8.51
parallel_range4_agents100_19;1;1527;15.48
parallel_range4_agents100_0;1;1596;21.65
parallel_range4_agents100_10;0;0;114.96
parallel_range4_agents100_3;1;256;1.91
parallel_range4_agents100_18;1;450;3.15
parallel_range4_agents100_13;1;3405;66.19
parallel_range4_agents100_1;0;0;116.32
parallel_range4_agents100_2;0;0;116.8
parallel_range4_agents100_17;1;1462;14.5
parallel_range4_agents100_11;1;1956;64.12
parallel_range4_agents100_6;1;505;4.6
