exp;success;longest_path;time
pyramid_range3_3d_agents50_3;1;139;0.66
pyramid_range3_3d_agents50_17;1;258;1.33
pyramid_range3_3d_agents50_11;1;103;0.66
pyramid_range3_3d_agents50_13;1;106;0.75
pyramid_range3_3d_agents50_2;1;511;1.26
pyramid_range3_3d_agents50_18;1;410;1.44
pyramid_range3_3d_agents50_7;1;494;14.01
pyramid_range3_3d_agents50_0;1;192;2.08
pyramid_range3_3d_agents50_5;1;570;2.44
pyramid_range3_3d_agents50_8;1;587;3.28
pyramid_range3_3d_agents50_16;1;381;1.23
pyramid_range3_3d_agents50_15;1;206;1.15
pyramid_range3_3d_agents50_4;1;53;0.34
pyramid_range3_3d_agents50_6;1;508;1.52
pyramid_range3_3d_agents50_10;1;107;0.64
pyramid_range3_3d_agents50_19;1;412;1.52
pyramid_range3_3d_agents50_14;1;134;0.77
pyramid_range3_3d_agents50_12;1;136;0.7
pyramid_range3_3d_agents50_9;1;605;3.1
pyramid_range3_3d_agents50_1;1;359;1.89
