exp;success;longest_path;time
small_obstacles_range3_3d_agents2_0;1;40;0.26
small_obstacles_range3_3d_agents2_4;1;15;0.26
small_obstacles_range3_3d_agents2_17;1;63;0.26
small_obstacles_range3_3d_agents2_18;1;56;0.26
small_obstacles_range3_3d_agents2_7;1;44;0.25
small_obstacles_range3_3d_agents2_9;1;66;0.41
small_obstacles_range3_3d_agents2_3;1;52;0.28
small_obstacles_range3_3d_agents2_8;1;38;0.26
small_obstacles_range3_3d_agents2_16;1;29;0.25
small_obstacles_range3_3d_agents2_1;1;23;0.26
small_obstacles_range3_3d_agents2_5;1;51;0.27
small_obstacles_range3_3d_agents2_10;1;53;0.25
small_obstacles_range3_3d_agents2_19;1;39;0.26
small_obstacles_range3_3d_agents2_11;1;31;0.25
small_obstacles_range3_3d_agents2_14;1;65;0.27
small_obstacles_range3_3d_agents2_13;1;58;0.25
small_obstacles_range3_3d_agents2_12;1;42;0.26
small_obstacles_range3_3d_agents2_2;1;21;0.25
small_obstacles_range3_3d_agents2_15;1;71;0.26
small_obstacles_range3_3d_agents2_6;1;45;0.28
