exp;success;longest_path;time
offices_range1_agents40_13;0;0;109.42
offices_range1_agents40_4;0;0;113.78
offices_range1_agents40_0;0;0;119.73
offices_range1_agents40_1;0;0;114.57
offices_range1_agents40_3;0;0;119.17
offices_range1_agents40_14;0;0;103.58
offices_range1_agents40_12;0;0;82.33
offices_range1_agents40_19;0;0;119.95
offices_range1_agents40_2;0;0;85.48
offices_range1_agents40_5;0;0;115.87
offices_range1_agents40_8;0;0;112.96
offices_range1_agents40_11;0;0;73.01
offices_range1_agents40_10;0;0;119.08
offices_range1_agents40_9;0;0;84.7
offices_range1_agents40_18;0;0;105.72
offices_range1_agents40_6;0;0;95.88
offices_range1_agents40_7;0;0;113.64
offices_range1_agents40_15;0;0;113.21
offices_range1_agents40_16;0;0;116.53
offices_range1_agents40_17;0;0;118.53
