exp;success;longest_path;time
parallel_range4_agents10_15;1;45;0.02
parallel_range4_agents10_10;0;0;36.62
parallel_range4_agents10_1;1;27;0.02
parallel_range4_agents10_18;0;0;76.72
parallel_range4_agents10_9;0;0;37.21
parallel_range4_agents10_8;0;0;51.27
parallel_range4_agents10_16;1;47;0.02
parallel_range4_agents10_17;0;0;42.43
parallel_range4_agents10_14;0;0;57.86
parallel_range4_agents10_12;1;28;0.02
parallel_range4_agents10_7;0;0;55.9
parallel_range4_agents10_13;1;33;0.13
parallel_range4_agents10_11;1;39;0.02
parallel_range4_agents10_0;0;0;64.64
parallel_range4_agents10_4;0;0;59.2
parallel_range4_agents10_19;1;45;0.39
parallel_range4_agents10_6;0;0;46.31
parallel_range4_agents10_2;0;0;54.46
parallel_range4_agents10_3;1;39;0.7
parallel_range4_agents10_5;1;45;1.15
