exp;success;longest_path;time
pyramid_range3_3d_agents275_19;0;0;77.26
pyramid_range3_3d_agents275_18;0;0;88.14
pyramid_range3_3d_agents275_13;0;0;98.03
pyramid_range3_3d_agents275_14;0;0;41.86
pyramid_range3_3d_agents275_2;0;0;41.17
pyramid_range3_3d_agents275_12;0;0;119.89
pyramid_range3_3d_agents275_0;0;0;79.54
pyramid_range3_3d_agents275_6;0;0;119.68
pyramid_range3_3d_agents275_16;0;0;32.54
pyramid_range3_3d_agents275_3;0;0;101.72
pyramid_range3_3d_agents275_4;0;0;119.91
pyramid_range3_3d_agents275_17;0;0;119.84
pyramid_range3_3d_agents275_7;0;0;119.67
pyramid_range3_3d_agents275_10;0;0;119.64
pyramid_range3_3d_agents275_8;0;0;119.68
pyramid_range3_3d_agents275_5;0;0;92.85
pyramid_range3_3d_agents275_9;0;0;119.09
pyramid_range3_3d_agents275_1;0;0;119.72
pyramid_range3_3d_agents275_11;0;0;103.6
pyramid_range3_3d_agents275_15;0;0;92.52
