exp;success;longest_path;time
offices_range1_agents275_10;0;0;119.64
offices_range1_agents275_4;0;0;119.67
offices_range1_agents275_7;0;0;119.56
offices_range1_agents275_5;0;0;119.7
offices_range1_agents275_6;0;0;119.64
offices_range1_agents275_8;0;0;119.62
offices_range1_agents275_16;0;0;119.65
offices_range1_agents275_13;0;0;119.64
offices_range1_agents275_3;0;0;119.57
offices_range1_agents275_12;0;0;119.67
offices_range1_agents275_19;0;0;119.57
offices_range1_agents275_0;0;0;119.49
offices_range1_agents275_9;0;0;119.64
offices_range1_agents275_14;0;0;119.68
offices_range1_agents275_1;0;0;119.57
offices_range1_agents275_15;0;0;119.58
offices_range1_agents275_17;0;0;119.7
offices_range1_agents275_11;0;0;119.68
offices_range1_agents275_2;0;0;119.58
offices_range1_agents275_18;0;0;119.64
