exp;success;longest_path;time
pyramid_range3_3d_agents225_0;0;0;119.91
pyramid_range3_3d_agents225_4;0;0;119.75
pyramid_range3_3d_agents225_18;0;0;119.49
pyramid_range3_3d_agents225_3;0;0;69.26
pyramid_range3_3d_agents225_12;0;0;119.7
pyramid_range3_3d_agents225_2;0;0;119.72
pyramid_range3_3d_agents225_15;0;0;119.93
pyramid_range3_3d_agents225_11;0;0;119.53
pyramid_range3_3d_agents225_13;0;0;54.04
pyramid_range3_3d_agents225_17;0;0;119.68
pyramid_range3_3d_agents225_8;0;0;111.44
pyramid_range3_3d_agents225_16;0;0;119.69
pyramid_range3_3d_agents225_9;0;0;119.81
pyramid_range3_3d_agents225_10;0;0;78.52
pyramid_range3_3d_agents225_1;0;0;119.8
pyramid_range3_3d_agents225_7;0;0;119.17
pyramid_range3_3d_agents225_6;0;0;119.64
pyramid_range3_3d_agents225_5;0;0;79.0
pyramid_range3_3d_agents225_19;0;0;104.64
pyramid_range3_3d_agents225_14;0;0;119.73
