exp;success;longest_path;time
small_obstacles_range3_3d_agents80_12;0;0;119.32
small_obstacles_range3_3d_agents80_3;0;0;119.45
small_obstacles_range3_3d_agents80_17;0;0;119.42
small_obstacles_range3_3d_agents80_9;0;0;119.45
small_obstacles_range3_3d_agents80_5;0;0;119.46
small_obstacles_range3_3d_agents80_11;0;0;119.38
small_obstacles_range3_3d_agents80_13;0;0;119.35
small_obstacles_range3_3d_agents80_6;0;0;119.32
small_obstacles_range3_3d_agents80_18;0;0;119.41
small_obstacles_range3_3d_agents80_0;0;0;119.24
small_obstacles_range3_3d_agents80_10;0;0;119.42
small_obstacles_range3_3d_agents80_2;0;0;119.44
small_obstacles_range3_3d_agents80_16;0;0;119.14
small_obstacles_range3_3d_agents80_7;0;0;119.45
small_obstacles_range3_3d_agents80_4;0;0;119.44
small_obstacles_range3_3d_agents80_15;0;0;119.3
small_obstacles_range3_3d_agents80_19;0;0;119.33
small_obstacles_range3_3d_agents80_8;0;0;119.46
small_obstacles_range3_3d_agents80_1;0;0;119.42
small_obstacles_range3_3d_agents80_14;0;0;119.43
